Gene_id,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,C1,C2,C3
tr|E9PXY1|E9PXY1_MOUSE,21.99655486091774,22.310524030465082,22.124109949833834,21.906281419120294,21.854603623064378,-inf,22.392887571814928,21.583940332440545,-inf
sp|A2A6A1|GPTC8_MOUSE,23.140444741490377,23.368796308237084,23.535521245430083,23.38771760397217,23.450355465577893,23.380733726136352,24.14553790347251,23.39545254979518,23.170737447989623
tr|F6VYE2|F6VYE2_MOUSE,-inf,19.867269689048236,-inf,19.504884921410106,19.452619306225138,-inf,20.192437307939855,19.94163225266887,-inf
tr|F6Y3V0|F6Y3V0_MOUSE,23.237291082989877,23.02772920075122,22.926655048458258,23.366130081196783,-inf,-inf,-inf,-inf,-inf
sp|A2AH22|AMRA1_MOUSE,22.44475608969503,22.07345907844736,22.36329849041362,21.93488295783085,21.930847041406714,22.042366092741396,22.816752435644524,22.41307418590123,22.24858314334562
sp|A2AN08|UBR4_MOUSE,27.263918469698048,26.714632279370154,27.134475987465915,27.535936469217923,26.709908580609692,26.843260151196514,27.631522683378925,26.55385471615198,27.04895193625566
sp|A3KGB4|TBC8B_MOUSE,-inf,-inf,-inf,-inf,20.06907209307411,-inf,-inf,-inf,-inf
sp|A6X919|D19L1_MOUSE,23.4181542394652,23.14042913846168,23.643393826326633,23.439997221856032,23.433007714483047,23.63156431299157,23.930847041406714,23.368529907157775,24.023437624626023
sp|B1ARD6|SLFN9_MOUSE,25.284962440709727,25.275580349316886,25.62803541089034,25.545807252415962,25.066569799337874,25.310461624012262,25.430617167058053,25.040845540267483,25.468988894202518
tr|E9QAI5|E9QAI5_MOUSE,27.701208090726222,27.90741653733096,28.159088249640952,28.046508143952664,28.049938678524075,28.06188171486763,28.244859776756957,27.954546624250934,28.155811476704162
tr|A0A0R4J260|A0A0R4J260_MOUSE,23.224497524821306,22.73809885858374,23.48406860611619,23.45450313026763,23.056095226681695,23.284044628374502,23.704193260475915,23.15349203856349,23.202650563370288
sp|B2RX14|TUT4_MOUSE,-inf,-inf,-inf,21.590579740522323,-inf,-inf,-inf,-inf,-inf
sp|B2RX88|CSPP1_MOUSE,-inf,23.085924942081444,24.032546217048996,22.362255278572473,-inf,21.468616088728833,24.05133973127708,-inf,-inf
sp|B2RXS4|PLXB2_MOUSE,22.59593762799071,23.143141528774464,-inf,22.848484643334828,-inf,-inf,-inf,-inf,-inf
sp|B2RY56|RBM25_MOUSE,23.948332294313513,22.54059065294408,23.490815629786088,23.74990788068703,22.473033847815376,22.944476870825216,24.002043769364693,22.6179570381718,23.022066362096794
sp|C0HKE5|H2A1G_MOUSE,-inf,24.816166490314238,-inf,-inf,24.346854010506274,23.54238672543362,-inf,24.447520660096664,23.618629257664065
sp|D3YXK1|SAMD1_MOUSE,-inf,-inf,-inf,-inf,20.977640485110584,21.192316897720623,20.66379434619952,21.160787311773422,21.476993355027197
tr|E9PUQ9|E9PUQ9_MOUSE,22.859218549496422,22.975333011634344,-inf,23.46013988819493,23.2092260703276,-inf,-inf,-inf,-inf
sp|E9PVA8|GCN1_MOUSE,21.494336069509774,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|E9PVB5|TTC17_MOUSE,22.100531453331104,-inf,-inf,-inf,-inf,-inf,22.572120090861585,-inf,-inf
sp|E9PYL2|PRR12_MOUSE,21.822054174359703,-inf,22.110283210499617,22.032478956971083,-inf,-inf,22.37286612261738,-inf,-inf
tr|A0A140T8I9|A0A140T8I9_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,19.438840573895366
tr|E9Q1Y3|E9Q1Y3_MOUSE,-inf,-inf,-inf,-inf,22.800512089392683,-inf,-inf,-inf,-inf
sp|E9Q4Z2|ACACB_MOUSE,-inf,27.507561541408556,27.415706700525842,-inf,28.030548096980578,28.35190779971823,-inf,28.277151231117777,27.828264250483194
sp|E9Q634|MYO1E_MOUSE,21.735291576098334,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
tr|F6YZU5|F6YZU5_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,20.000583247239355
sp|E9QAT4|SC16A_MOUSE,23.70714593025483,25.699832306321383,25.43182887280415,25.222877429153144,26.243543883785332,26.17358031054442,25.59965932103178,26.24702611522791,26.40499833400247
sp|F8VPU2|FARP1_MOUSE,23.611104968025383,23.09453585399798,23.35850418897251,23.537773882266663,22.876464487243528,23.070907082925604,23.10741249202688,22.621471522348035,23.129402515369204
sp|G3X9J0|SI1L3_MOUSE,-inf,-inf,-inf,-inf,-inf,21.7982787689982,-inf,-inf,-inf
sp|G5E829|AT2B1_MOUSE,22.911776709058863,23.279942644515337,22.538673953082668,23.447835913696,23.751543241872,-inf,-inf,-inf,-inf
tr|E9Q5B5|E9Q5B5_MOUSE,23.288839045003733,22.784685960547726,23.798773164342776,21.866085070910255,22.99372482811338,23.713662558887968,23.294318974318877,23.03511656399657,23.724528008483063
sp|O08547|SC22B_MOUSE,21.979386117345545,23.008674813430154,21.89400654024716,22.17337825161418,22.837804994891073,22.050592672466447,21.551638801415073,-inf,22.590328457628946
sp|O08579|EMD_MOUSE,-inf,23.249538254298006,22.945673868729735,-inf,23.730966767553436,23.58543113465035,22.244320859518016,23.840477525466998,24.125419146361534
sp|O08749|DLDH_MOUSE,22.07942879205576,23.661556312281895,23.757557665520828,22.99192729242795,23.329097749035565,24.568715075577327,23.557306631232823,23.45938959171921,23.932740283100607
sp|O08917|FLOT1_MOUSE,-inf,-inf,-inf,22.9215976302558,-inf,-inf,-inf,-inf,-inf
sp|O09005|DEGS1_MOUSE,22.754645330266612,-inf,22.62569100900644,-inf,-inf,22.17904042291003,22.650817734734378,22.19078078585832,-inf
sp|O09044|SNP23_MOUSE,23.9135125295372,24.528920959851412,22.780727179038863,24.23556844440966,23.73820196346432,21.278667239946444,-inf,-inf,-inf
