Entry	Entry name	Gene names
Q80UU9	PGRC2_MOUSE	Pgrmc2
P49817	CAV1_MOUSE	Cav1 Cav
Q9CQW9	IFM3_MOUSE	Ifitm3
P63024	VAMP3_MOUSE	Vamp3 Syb3
Q9CQW1	YKT6_MOUSE	Ykt6
A0A0J9YTY0	A0A0J9YTY0_MOUSE	Septin11 Sept11
A0A0R4J1G9	A0A0R4J1G9_MOUSE	Steap3
O09044	SNP23_MOUSE	Snap23 Sndt
F7DBB3	F7DBB3_MOUSE	
O54724	CAVN1_MOUSE	Cavin1 Ptrf
D3YVM2	D3YVM2_MOUSE	Tmem59
Q5Y5T1	ZDH20_MOUSE	Zdhhc20
Q811D0	DLG1_MOUSE	Dlg1 Dlgh1
A0A140LIU9	A0A140LIU9_MOUSE	Tspo
Q80Z96	VANG1_MOUSE	Vangl1 Lpp2
Q6P9J9	ANO6_MOUSE	Ano6 Tmem16f
Q63918	CAVN2_MOUSE	Cavin2 Sdpr Sdr
Q3UL36	ARGL1_MOUSE	Arglu1
Q924U4	Q924U4_MOUSE	Cav2
Q03145	EPHA2_MOUSE	Epha2 Eck Myk2 Sek2
P18572	BASI_MOUSE	Bsg
Q62371	DDR2_MOUSE	Ddr2 Ntrkr3 Tkt Tyro10
P47738	ALDH2_MOUSE	Aldh2 Ahd-1 Ahd1
E9Q9C3	E9Q9C3_MOUSE	Afdn
O54962	BAF_MOUSE	Banf1 Baf Bcrp1 L2bp1
A0A1B0GRR3	A0A1B0GRR3_MOUSE	Rps11
A0A0A0MQM0	A0A0A0MQM0_MOUSE	Eif5a
Q3T9E4	TGTP2_MOUSE	Tgtp2 Ifggb6 Irgb6 Mg21 Tgtp
E9Q616	E9Q616_MOUSE	Ahnak
Q8CIB5	FERM2_MOUSE	Fermt2 Plekhc1
P43275	H11_MOUSE	H1-1 H1a H1f1 Hist1h1a
Q9ESU7	Q9ESU7_MOUSE	Slc1a5
A0A338P6B4	A0A338P6B4_MOUSE	Polr2h
P50544	ACADV_MOUSE	Acadvl Vlcad
P23242	CXA1_MOUSE	Gja1 Cxn-43
E9Q3N1	E9Q3N1_MOUSE	Slc7a1
Q8JZM0	TFB1M_MOUSE	Tfb1m
Q8C0J6	SWAHC_MOUSE	Sowahc Ankrd57
Q922W5	P5CR1_MOUSE	Pycr1
P47962	RL5_MOUSE	Rpl5
P70453	PDE7A_MOUSE	Pde7a
P45952	ACADM_MOUSE	Acadm
Q8VCV2	Q8VCV2_MOUSE	Ndrg3
A0A498WFS2	A0A498WFS2_MOUSE	Ubxn1
A2A6U3	A2A6U3_MOUSE	Septin9 Sept9
F8WHG5	F8WHG5_MOUSE	Akt2
Q6ZQI3	MLEC_MOUSE	Mlec Kiaa0152
Q3UXD9	Q3UXD9_MOUSE	Pecr
Q9CQU0	TXD12_MOUSE	Txndc12 Tlp19
Q99JR1	SFXN1_MOUSE	Sfxn1
B0QZX9	B0QZX9_MOUSE	Dcakd
Q02013	AQP1_MOUSE	Aqp1
Q8JZQ9	EIF3B_MOUSE	Eif3b Eif3s9
P10922	H10_MOUSE	H1-0 H1f0 H1fv
Q3THW5	H2AV_MOUSE	H2az2 H2afv H2av
A7YY80	A7YY80_MOUSE	Epb41l3 Epb4.1l3
Q5SS83	Q5SS83_MOUSE	Flot2
V9GXA5	V9GXA5_MOUSE	Trps1
Q91YT8	CSCL1_MOUSE	Tmem63a Kiaa0792
A0A2U3TZ82	A0A2U3TZ82_MOUSE	Triobp
A2AVJ7	A2AVJ7_MOUSE	Rrbp1
P0CL69	ZN703_MOUSE	Znf703 Zeppo1 Zfp703 Zpo1
P03888	NU1M_MOUSE	Mtnd1 mt-Nd1 Nd1
Q9EQ06	DHB11_MOUSE	Hsd17b11 Dhrs8 Pan1b
P54818	GALC_MOUSE	Galc
Q9JHS4	CLPX_MOUSE	Clpx
A2ATL1	A2ATL1_MOUSE	Fam171a1
Q62093	SRSF2_MOUSE	Srsf2 Pr264 Sfrs10 Sfrs2
Q04750	TOP1_MOUSE	Top1 Top-1
Q80WJ7	LYRIC_MOUSE	Mtdh Lyric
Q80UP8	S20A2_MOUSE	Slc20a2 Pit2
P63094	GNAS2_MOUSE	Gnas Gnas1 MNCb-5546
A0A1B0GRX7	A0A1B0GRX7_MOUSE	Cyth2
Q9CZE3	RAB32_MOUSE	Rab32
G5E829	AT2B1_MOUSE	Atp2b1
P82349	SGCB_MOUSE	Sgcb
P70280	VAMP7_MOUSE	Vamp7 Sybl1
Q91XC0	AJUBA_MOUSE	Ajuba Jub
F6Y3V0	F6Y3V0_MOUSE	Ptprf
A2ACM0	A2ACM0_MOUSE	Rptor
Q8R349	CDC16_MOUSE	Cdc16 Anapc6
Q9DBL1	ACDSB_MOUSE	Acadsb
Q99LH2	PTSS1_MOUSE	Ptdss1 Pssa
G3UY29	G3UY29_MOUSE	Rab11b
Q8VDP4	CCAR2_MOUSE	Ccar2
D3Z3E8	D3Z3E8_MOUSE	Mov10
Q61768	KINH_MOUSE	Kif5b Khcs Kns1
A0A0G2JDW7	A0A0G2JDW7_MOUSE	Rps27
Q8BVY0	RL1D1_MOUSE	Rsl1d1
Q8BUU7	Q8BUU7_MOUSE	Galk2
P08752	GNAI2_MOUSE	Gnai2 Gnai-2
Q91VS7	MGST1_MOUSE	Mgst1
Q00993	UFO_MOUSE	Axl Ark Ufo
Q9DBE8	ALG2_MOUSE	Alg2 MNCb-5081
O70318	E41L2_MOUSE	Epb41l2 Epb4.1l2
A0A0G2JDL3	A0A0G2JDL3_MOUSE	Cdk5
Q62347	Q62347_MOUSE	Creb1
A0A2I3BPY7	A0A2I3BPY7_MOUSE	Rai14
P08249	MDHM_MOUSE	Mdh2 Mor1
E9QMD3	E9QMD3_MOUSE	Zfhx3
P67984	RL22_MOUSE	Rpl22
Q8K4X7	PLCD_MOUSE	Agpat4
P62071	RRAS2_MOUSE	Rras2
Q9QZD9	EIF3I_MOUSE	Eif3i Eif3s2 Trip1
D3YXK1	SAMD1_MOUSE	Samd1
A0A087WQE6	A0A087WQE6_MOUSE	Eloc Tceb1
