yourlist:M20210702F248CABF64506F29A91F8037F07B67D10AE5CDI	Entry	Entry name	Gene names
Q80UU9	Q80UU9	PGRC2_MOUSE	Pgrmc2
Q9CQW1	Q9CQW1	YKT6_MOUSE	Ykt6
P63024	P63024	VAMP3_MOUSE	Vamp3 Syb3
P49817	P49817	CAV1_MOUSE	Cav1 Cav
Q9CQW9	Q9CQW9	IFM3_MOUSE	Ifitm3
A0A0J9YTY0	A0A0J9YTY0	A0A0J9YTY0_MOUSE	Septin11 Sept11
O54724	O54724	CAVN1_MOUSE	Cavin1 Ptrf
A0A0R4J1G9	A0A0R4J1G9	A0A0R4J1G9_MOUSE	Steap3
P18572	P18572	BASI_MOUSE	Bsg
Q811D0	Q811D0	DLG1_MOUSE	Dlg1 Dlgh1
O09044	O09044	SNP23_MOUSE	Snap23 Sndt
Q5Y5T1	Q5Y5T1	ZDH20_MOUSE	Zdhhc20
F7DBB3	F7DBB3	F7DBB3_MOUSE	
A2A6U3	A2A6U3	A2A6U3_MOUSE	Septin9 Sept9
Q9WVA4	Q9WVA4	TAGL2_MOUSE	Tagln2 Kiaa0120
Q8CIB5	Q8CIB5	FERM2_MOUSE	Fermt2 Plekhc1
Q03145	Q03145	EPHA2_MOUSE	Epha2 Eck Myk2 Sek2
Q80Z96	Q80Z96	VANG1_MOUSE	Vangl1 Lpp2
A0A2U3TZ82	A0A2U3TZ82	A0A2U3TZ82_MOUSE	Triobp
E9Q9C3	E9Q9C3	E9Q9C3_MOUSE	Afdn
Q9ESU7	Q9ESU7	Q9ESU7_MOUSE	Slc1a5
Q62371	Q62371	DDR2_MOUSE	Ddr2 Ntrkr3 Tkt Tyro10
Q61768	Q61768	KINH_MOUSE	Kif5b Khcs Kns1
Q8BVY0	Q8BVY0	RL1D1_MOUSE	Rsl1d1
E9Q616	E9Q616	E9Q616_MOUSE	Ahnak
E9QM38	E9QM38	E9QM38_MOUSE	Slc12a2
A0A494BAX5	A0A494BAX5	A0A494BAX5_MOUSE	Nars
Q99JR1	Q99JR1	SFXN1_MOUSE	Sfxn1
Q8R326	Q8R326	PSPC1_MOUSE	Pspc1 Psp1
Q8C3W1	Q8C3W1	CA198_MOUSE	
P08752	P08752	GNAI2_MOUSE	Gnai2 Gnai-2
P47962	P47962	RL5_MOUSE	Rpl5
Q3TQ29	Q3TQ29	Q3TQ29_MOUSE	Pum2
Q8VIG0	Q8VIG0	ZCH14_MOUSE	Zcchc14 Kiaa0579
A0A2I3BPY7	A0A2I3BPY7	A0A2I3BPY7_MOUSE	Rai14
Q63918	Q63918	CAVN2_MOUSE	Cavin2 Sdpr Sdr
A0A1B0GRR3	A0A1B0GRR3	A0A1B0GRR3_MOUSE	Rps11
Q91VS7	Q91VS7	MGST1_MOUSE	Mgst1
Q8BH07	Q8BH07	AR6P6_MOUSE	Arl6ip6
G3UY29	G3UY29	G3UY29_MOUSE	Rab11b
Q8VDP4	Q8VDP4	CCAR2_MOUSE	Ccar2
D3YVM2	D3YVM2	D3YVM2_MOUSE	Tmem59
Q9D0D4	Q9D0D4	DIM1_MOUSE	Dimt1 Dimt1l
Q8R1L4	Q8R1L4	ERD23_MOUSE	Kdelr3
Q99L85	Q99L85	ELP5_MOUSE	Elp5 Derp6 Rai12
Q6P9J9	Q6P9J9	ANO6_MOUSE	Ano6 Tmem16f
Q3T9E4	Q3T9E4	TGTP2_MOUSE	Tgtp2 Ifggb6 Irgb6 Mg21 Tgtp
Q7TT50	Q7TT50	MRCKB_MOUSE	Cdc42bpb Kiaa1124
Q08509	Q08509	EPS8_MOUSE	Eps8
O08583	O08583	THOC4_MOUSE	Alyref Aly Ref1 Refbp1 THOC4
Q60988	Q60988	STIL_MOUSE	Stil Sil
Q924U4	Q924U4	Q924U4_MOUSE	Cav2
Q9ER67	Q9ER67	Q9ER67_MOUSE	Maged2
G5E887	G5E887	G5E887_MOUSE	Lca5
P82349	P82349	SGCB_MOUSE	Sgcb
Q9CQS4	Q9CQS4	S2546_MOUSE	Slc25a46
Q8CI51	Q8CI51	PDLI5_MOUSE	Pdlim5 Enh
Q8CHH9	Q8CHH9	SEPT8_MOUSE	Septin8 Kiaa0202 Sept8
E9QN08	E9QN08	E9QN08_MOUSE	Eef1d
Q9JLJ5	Q9JLJ5	ELOV1_MOUSE	Elovl1 Ssc1
Q8K2J7	Q8K2J7	RELL1_MOUSE	Rell1
P50580	P50580	PA2G4_MOUSE	Pa2g4 Ebp1 Plfap
P09411	P09411	PGK1_MOUSE	Pgk1 Pgk-1
Q60987	Q60987	FOXG1_MOUSE	Foxg1 Fkhl1 Foxg1b Hfhbf1
O54916	O54916	REPS1_MOUSE	Reps1
A0A571BEU3	A0A571BEU3	A0A571BEU3_MOUSE	Shank3
Q3U8S1	Q3U8S1	Q3U8S1_MOUSE	Cd44
P62071	P62071	RRAS2_MOUSE	Rras2
B0V2N1	B0V2N1	PTPRS_MOUSE	Ptprs
P16546	P16546	SPTN1_MOUSE	Sptan1 Spna2 Spta2
Q9JKV1	Q9JKV1	ADRM1_MOUSE	Adrm1 Gp110
Q5SS83	Q5SS83	Q5SS83_MOUSE	Flot2
A0A0R4J1I5	A0A0R4J1I5	A0A0R4J1I5_MOUSE	Foxp4
Q91XV3	Q91XV3	BASP1_MOUSE	Basp1 Nap22
D3YZW7	D3YZW7	D3YZW7_MOUSE	Atg16l1
Q62086	Q62086	PON2_MOUSE	Pon2
H7BX14	H7BX14	H7BX14_MOUSE	Tsen34
P52019	P52019	ERG1_MOUSE	Sqle Erg1
P09055	P09055	ITB1_MOUSE	Itgb1
Q3UA06	Q3UA06	PCH2_MOUSE	Trip13 Pch2
Q6PCP3	Q6PCP3	Q6PCP3_MOUSE	Dusp16
G5E829	G5E829	AT2B1_MOUSE	Atp2b1
Q62261	Q62261	SPTB2_MOUSE	Sptbn1 Elf Spnb-2 Spnb2 Sptb2
Q91WL8	Q91WL8	WWOX_MOUSE	Wwox Wox1
Q9ERB0	Q9ERB0	SNP29_MOUSE	Snap29
Q8BXJ2	Q8BXJ2	TREF1_MOUSE	Trerf1
Q9Z0P4	Q9Z0P4	PALM_MOUSE	Palm
A2ATI9	A2ATI9	A2ATI9_MOUSE	Gorasp2
A0A0A0MQM0	A0A0A0MQM0	A0A0A0MQM0_MOUSE	Eif5a
G3UZP7	G3UZP7	G3UZP7_MOUSE	H2-D1
Q9WUM3	Q9WUM3	COR1B_MOUSE	Coro1b
P70280	P70280	VAMP7_MOUSE	Vamp7 Sybl1
Q5F2E8	Q5F2E8	TAOK1_MOUSE	Taok1 Kiaa1361
Q8R2U7	Q8R2U7	LRC42_MOUSE	Lrrc42
Q922Q8	Q922Q8	LRC59_MOUSE	Lrrc59
Q9CWR7	Q9CWR7	STEA1_MOUSE	Steap1 Steap
O88952	O88952	LIN7C_MOUSE	Lin7c Mals3 Veli3
E9Q3N1	E9Q3N1	E9Q3N1_MOUSE	Slc7a1
Q8K2P7	Q8K2P7	S38A1_MOUSE	Slc38a1 Nat2 Snat1
P21958	P21958	TAP1_MOUSE	Tap1 Abcb2 Ham-1 Ham1
Q5SXR6	Q5SXR6	Q5SXR6_MOUSE	Cltc
Q8C6B2	Q8C6B2	RTKN_MOUSE	Rtkn
P63094	P63094	GNAS2_MOUSE	Gnas Gnas1 MNCb-5546
Q9D3B1	Q9D3B1	HACD2_MOUSE	Hacd2 Ptplb
A2AVJ7	A2AVJ7	A2AVJ7_MOUSE	Rrbp1
E9PVA8	E9PVA8	GCN1_MOUSE	Gcn1 Gcn1l1
A2ACC6	A2ACC6	A2ACC6_MOUSE	Ralgapb
O70318	O70318	E41L2_MOUSE	Epb41l2 Epb4.1l2
Q9DCL9	Q9DCL9	PUR6_MOUSE	Paics
Q9JJ66	Q9JJ66	CDC20_MOUSE	Cdc20
Q99PT1	Q99PT1	GDIR1_MOUSE	Arhgdia C87222 Gdi1
Q5UE59	Q5UE59	Q5UE59_MOUSE	Klc1 Kns2
P97855	P97855	G3BP1_MOUSE	G3bp1 G3bp
E9PUQ9	E9PUQ9	E9PUQ9_MOUSE	Piezo1 Fam38a
P62301	P62301	RS13_MOUSE	Rps13
O55131	O55131	SEPT7_MOUSE	Septin7 Cdc10 Sept7
O54962	O54962	BAF_MOUSE	Banf1 Baf Bcrp1 L2bp1
Q8C0P0	Q8C0P0	GWL_MOUSE	Mastl Gw Gwl
P03888	P03888	NU1M_MOUSE	Mtnd1 mt-Nd1 Nd1
A0A067XG53	A0A067XG53	A0A067XG53_MOUSE	Cask
Q80WJ7	Q80WJ7	LYRIC_MOUSE	Mtdh Lyric
P07356	P07356	ANXA2_MOUSE	Anxa2 Anx2 Cal1h
Q9CZE3	Q9CZE3	RAB32_MOUSE	Rab32
E9Q1Y3	E9Q1Y3	E9Q1Y3_MOUSE	Apob
F6YVP7	F6YVP7	F6YVP7_MOUSE	Rps18-ps6 Gm10260 Gm17352
P62259	P62259	1433E_MOUSE	Ywhae
Q9DBE8	Q9DBE8	ALG2_MOUSE	Alg2 MNCb-5081
Q8BMK4	Q8BMK4	CKAP4_MOUSE	Ckap4
D3Z3E8	D3Z3E8	D3Z3E8_MOUSE	Mov10
Q9CZW4	Q9CZW4	ACSL3_MOUSE	Acsl3 Acs3 Facl3
A0A0N4SW73	A0A0N4SW73	A0A0N4SW73_MOUSE	Rab11fip5
P35564	P35564	CALX_MOUSE	Canx
Q60596	Q60596	XRCC1_MOUSE	Xrcc1 Xrcc-1
Q8JZM0	Q8JZM0	TFB1M_MOUSE	Tfb1m
P58871	P58871	TB182_MOUSE	Tnks1bp1 Kiaa1741 Tab182
P32507	P32507	NECT2_MOUSE	Nectin2 Mph Pvr Pvrl2 Pvs
Q8CIN4	Q8CIN4	PAK2_MOUSE	Pak2
Q3UC82	Q3UC82	Q3UC82_MOUSE	Lig3
D3YUT3	D3YUT3	D3YUT3_MOUSE	Rps19
Q64430	Q64430	ATP7A_MOUSE	Atp7a Mnk
Q501J7	Q501J7	PHAR4_MOUSE	Phactr4 Kiaa4120
Q8BWB6	Q8BWB6	STEA2_MOUSE	Steap2
Q8BI22	Q8BI22	CE128_MOUSE	Cep128
P54775	P54775	PRS6B_MOUSE	Psmc4 Tbp7
Q8C0I1	Q8C0I1	ADAS_MOUSE	Agps
E9Q4Q2	E9Q4Q2	E9Q4Q2_MOUSE	Sf1
A0A2C9F2D2	A0A2C9F2D2	A0A2C9F2D2_MOUSE	Anxa7
Q8CD26	Q8CD26	S35E1_MOUSE	Slc35e1
P26638	P26638	SYSC_MOUSE	Sars1 Sars Sers
O35963	O35963	RB33B_MOUSE	Rab33b
A0A2I3BRK6	A0A2I3BRK6	A0A2I3BRK6_MOUSE	Eny2 ENY2
O54988	O54988	SLK_MOUSE	Slk Kiaa0204 Stk2
A7E1Z5	A7E1Z5	A7E1Z5_MOUSE	Slc4a4 slc4a4
P80314	P80314	TCPB_MOUSE	Cct2 Cctb
