Gene_id,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,C1,C2,C3
tr|E9PXY1|E9PXY1_MOUSE,53279.0,284160.0,89935.0,45297.0,177640.0,32438.0,277750.0,164480.0,82699.0
sp|A2A6A1|GPTC8_MOUSE,98221.0,270180.0,356500.0,209630.0,407570.0,276870.0,675270.0,464090.0,310830.0
tr|F6VYE2|F6VYE2_MOUSE,11631.0,46225.0,20071.0,25020.0,42658.0,5042.1,28655.0,31074.0,25978.0
tr|F6Y3V0|F6Y3V0_MOUSE,171920.0,263540.0,141310.0,253930.0,12193.0,0.0,0.0,0.0,0.0
sp|A2AH22|AMRA1_MOUSE,112450.0,114570.0,142700.0,56853.0,129520.0,70805.0,283770.0,180340.0,184390.0
sp|A2AN08|UBR4_MOUSE,703050.0,1058500.0,1074800.0,1206300.0,945360.0,661300.0,1835900.0,646050.0,1118400.0
sp|A3KGB4|TBC8B_MOUSE,0.0,50829.0,24466.0,0.0,55519.0,48959.0,27067.0,15831.0,18737.0
sp|A6X919|D19L1_MOUSE,439720.0,700460.0,825290.0,763520.0,1364300.0,512130.0,939490.0,512650.0,911950.0
sp|B1ARD6|SLFN9_MOUSE,830940.0,3127600.0,1391400.0,1175000.0,1625300.0,1279400.0,2027800.0,1819400.0,2294700.0
tr|E9QAI5|E9QAI5_MOUSE,1691300.0,6616300.0,4522700.0,3190400.0,6462300.0,3889800.0,5167600.0,5598900.0,5953500.0
tr|A0A0R4J260|A0A0R4J260_MOUSE,168060.0,266160.0,360510.0,336130.0,446330.0,292840.0,629490.0,452070.0,440610.0
sp|B2RX14|TUT4_MOUSE,2376.2,14498.0,11640.0,48782.0,17115.0,11418.0,18763.0,13901.0,10034.0
sp|B2RX88|CSPP1_MOUSE,9959.1,233370.0,702660.0,114920.0,0.0,25816.0,459400.0,18456.0,0.0
sp|B2RXS4|PLXB2_MOUSE,89469.0,146220.0,46325.0,164500.0,24840.0,0.0,0.0,0.0,0.0
sp|B2RY56|RBM25_MOUSE,367530.0,572380.0,590130.0,428280.0,290950.0,515700.0,1123000.0,382240.0,746210.0
sp|C0HKE5|H2A1G_MOUSE,0.0,17139000.0,0.0,0.0,7954400.0,4558500.0,0.0,13570000.0,2460600.0
sp|D3YXK1|SAMD1_MOUSE,0.0,121510.0,51876.0,20679.0,261740.0,124790.0,86067.0,261340.0,334430.0
tr|E9PUQ9|E9PUQ9_MOUSE,49724.0,151480.0,5829.8,226840.0,271680.0,0.0,0.0,0.0,0.0
sp|E9PVA8|GCN1_MOUSE,18013.0,153890.0,0.0,0.0,88182.0,0.0,18375.0,5011.9,0.0
sp|E9PVB5|TTC17_MOUSE,58665.0,0.0,0.0,0.0,0.0,26662.0,189170.0,46356.0,23504.0
sp|E9PYL2|PRR12_MOUSE,58243.0,0.0,126190.0,114740.0,61126.0,0.0,95408.0,0.0,64860.0
tr|A0A140T8I9|A0A140T8I9_MOUSE,0.0,0.0,133630.0,0.0,14885.0,0.0,3940.2,0.0,12736.0
tr|E9Q1Y3|E9Q1Y3_MOUSE,54092.0,78672.0,79081.0,31504.0,81575.0,0.0,0.0,0.0,0.0
sp|E9Q4Z2|ACACB_MOUSE,225790.0,4616800.0,2031700.0,588020.0,5557800.0,4749200.0,1928100.0,5554100.0,5118700.0
sp|E9Q634|MYO1E_MOUSE,59172.0,34514.0,0.0,40093.0,0.0,0.0,38946.0,0.0,0.0
tr|F6YZU5|F6YZU5_MOUSE,3358.2,21895.0,0.0,12850.0,0.0,0.0,0.0,0.0,24352.0
sp|E9QAT4|SC16A_MOUSE,113130.0,1219300.0,658740.0,506340.0,2075700.0,1231200.0,1054200.0,2076800.0,2551100.0
sp|F8VPU2|FARP1_MOUSE,302890.0,513690.0,362080.0,391140.0,200500.0,194350.0,269120.0,164980.0,341350.0
sp|G3X9J0|SI1L3_MOUSE,0.0,0.0,0.0,0.0,0.0,63246.0,0.0,0.0,6705.6
sp|G5E829|AT2B1_MOUSE,230920.0,388600.0,80246.0,420770.0,646130.0,0.0,0.0,0.0,0.0
tr|E9Q5B5|E9Q5B5_MOUSE,163310.0,374430.0,573330.0,69501.0,386480.0,449040.0,381080.0,342610.0,715600.0
sp|O08547|SC22B_MOUSE,376950.0,2041700.0,584800.0,600350.0,1705500.0,526230.0,310330.0,315310.0,789430.0
sp|O08579|EMD_MOUSE,84482.0,3002600.0,717820.0,139800.0,2446700.0,1195800.0,507850.0,3413100.0,3583000.0
sp|O08749|DLDH_MOUSE,119840.0,1309900.0,1173100.0,303550.0,786660.0,2576600.0,908350.0,1253600.0,1746100.0
sp|O09005|DEGS1_MOUSE,687040.0,0.0,967750.0,326700.0,0.0,710110.0,1479000.0,713890.0,441020.0
sp|O09044|SNP23_MOUSE,1408800.0,5738900.0,892600.0,2043000.0,3134500.0,151190.0,0.0,0.0,0.0
tr|A0A338P7C0|A0A338P7C0_MOUSE,220120.0,302040.0,342860.0,0.0,393530.0,0.0,504600.0,0.0,523590.0
sp|O09106|HDAC1_MOUSE,1400000.0,4106000.0,5177200.0,2842800.0,3828700.0,2414800.0,4433000.0,3457900.0,5674500.0
sp|O09110|MP2K3_MOUSE,783450.0,1751100.0,1001400.0,537580.0,915920.0,259100.0,1045000.0,514270.0,993690.0
sp|O09131|GSTO1_MOUSE,0.0,1708500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|Q9CQM8|Q9CQM8_MOUSE,8083000.0,19280000.0,4331400.0,10594000.0,2402600.0,646720.0,6837800.0,8218400.0,2442400.0
sp|O09172|GSH0_MOUSE,10546000.0,17219000.0,8481900.0,8973600.0,10795000.0,4371400.0,16089000.0,8536700.0,6071900.0
sp|O35126|ATN1_MOUSE,908010.0,3979200.0,3548600.0,3174300.0,5341500.0,1792700.0,3627200.0,5099800.0,3181600.0
sp|O35129|PHB2_MOUSE,340360.0,1941700.0,157690.0,172010.0,549970.0,258100.0,401800.0,290970.0,172860.0
sp|O35280|CHK1_MOUSE,631870.0,344330.0,733610.0,499790.0,212900.0,55341.0,752230.0,75007.0,94155.0
tr|A0A0G2JG10|A0A0G2JG10_MOUSE,99200.0,228910.0,83818.0,0.0,0.0,184160.0,81324.0,225890.0,41563.0
sp|O35295|PURB_MOUSE,1039500.0,4744100.0,2222900.0,1375900.0,4134600.0,2230500.0,2994700.0,3635400.0,2734500.0
tr|Q4FJZ2|Q4FJZ2_MOUSE,150020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|O35375|NRP2_MOUSE,31167.0,0.0,195900.0,44982.0,48930.0,0.0,68349.0,0.0,117280.0
sp|O35379|MRP1_MOUSE,29668.0,95720.0,54531.0,89671.0,163710.0,0.0,29749.0,22297.0,61291.0
sp|O35382|EXOC4_MOUSE,37474.0,320100.0,25862.0,42156.0,208180.0,59190.0,80660.0,94193.0,47340.0
sp|O35387|HAX1_MOUSE,1365200.0,1740100.0,2120600.0,1521700.0,1838300.0,1600800.0,2664300.0,854960.0,2415800.0
tr|E9Q855|E9Q855_MOUSE,1105100.0,708530.0,1024600.0,936400.0,469340.0,0.0,1495500.0,407360.0,609770.0
sp|O35648|CETN3_MOUSE,0.0,0.0,436990.0,0.0,0.0,0.0,108000.0,0.0,0.0
sp|O35654|DPOD2_MOUSE,884900.0,2020500.0,1557600.0,1449600.0,2047500.0,1220500.0,2352500.0,2536900.0,2531300.0
sp|O35691|PININ_MOUSE,22209.0,126350.0,83687.0,16210.0,48842.0,0.0,62618.0,0.0,23349.0
sp|O35704|SPTC1_MOUSE,189810.0,700730.0,470320.0,313190.0,360950.0,321290.0,524180.0,551620.0,194940.0
sp|O35730|RING1_MOUSE,244860.0,80687.0,285000.0,285330.0,244170.0,0.0,404990.0,0.0,74311.0
tr|Q8C2Q7|Q8C2Q7_MOUSE,10335000.0,15763000.0,11487000.0,12372000.0,17179000.0,10167000.0,13623000.0,14720000.0,13528000.0
sp|O35740|CITE2_MOUSE,399140.0,29137.0,601010.0,300040.0,694150.0,0.0,65751.0,0.0,558160.0
tr|Q5SSP3|Q5SSP3_MOUSE,743370.0,2824900.0,2348800.0,2110000.0,3146400.0,3331600.0,1992200.0,2166000.0,2697000.0
sp|O35963|RB33B_MOUSE,0.0,0.0,326780.0,393990.0,1129900.0,0.0,455190.0,1757600.0,1728500.0
sp|O54724|CAVN1_MOUSE,14625000.0,75890000.0,8580600.0,38850000.0,63980000.0,5738400.0,450660.0,0.0,0.0
