# ProtRank analysis results of a dataset with 1238 rows and 6 comparisons
# comparisons in group 1: C1 vs. E1_24 & C2 vs. E2_24 & C3 vs. E3_24 & C1 vs. E1_48 & C2 vs. E2_48 & C3 vs. E3_48
# FDR values computed using 100 bootstrap realizations of the data
# rank	row	rank score	FDR	signs in groups
1	sp|Q80UU9|PGRC2_MOUSE	98633.051020	0.00000	+
2	sp|P56818|BACE1_MOUSE	78055.141826	0.00000	+
3	sp|P49817|CAV1_MOUSE	33615.722966	0.00000	+
4	sp|P63024|VAMP3_MOUSE	31269.857790	0.00000	+
5	sp|Q9CQW1|YKT6_MOUSE	30741.702230	0.00000	+
6	sp|Q9CQW9|IFM3_MOUSE	23572.969915	0.00000	+
7	sp|O54724|CAVN1_MOUSE	18658.211932	0.00000	+
8	tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE	13071.771243	0.00000	+
9	tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE	9366.149826	0.00000	+
10	tr|E9Q616|E9Q616_MOUSE	7637.287626	0.00000	+
11	sp|Q811D0|DLG1_MOUSE	5517.564089	0.00000	+
12	sp|O09044|SNP23_MOUSE	5313.366928	0.00000	+
13	tr|F7DBB3|F7DBB3_MOUSE	4808.425929	0.00000	+
14	sp|Q5Y5T1|ZDH20_MOUSE	4102.634207	0.00000	+
15	sp|P18572|BASI_MOUSE	3581.163511	0.00000	+
16	sp|Q80Z96|VANG1_MOUSE	2448.192345	0.00000	+
17	tr|Q9ESU7|Q9ESU7_MOUSE	2388.121051	0.00000	+
18	sp|Q63918|CAVN2_MOUSE	1918.913422	0.00000	+
19	sp|Q03145|EPHA2_MOUSE	1807.425673	0.00000	+
20	sp|Q62371|DDR2_MOUSE	1439.182966	0.00000	+
21	tr|E9Q9C3|E9Q9C3_MOUSE	1392.757275	0.00000	+
22	sp|Q8CIB5|FERM2_MOUSE	1375.217100	0.00000	+
23	sp|Q08509|EPS8_MOUSE	1265.431588	0.00000	-
24	sp|O70318|E41L2_MOUSE	1177.546236	0.00000	+
25	sp|Q8BVY0|RL1D1_MOUSE	920.335711	0.00000	-
26	sp|Q99JR1|SFXN1_MOUSE	891.320320	0.00000	-
27	tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE	779.322035	0.00037	+
28	tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE	751.007486	0.00071	+
29	sp|Q61768|KINH_MOUSE	744.179852	0.00071	+
30	sp|Q3T9E4|TGTP2_MOUSE	715.984060	0.00071	-
31	sp|P08752|GNAI2_MOUSE	686.220839	0.00071	+
32	sp|Q9WVA4|TAGL2_MOUSE	558.519042	0.00156	+
33	sp|Q8VDP4|CCAR2_MOUSE	547.222048	0.00156	-
34	tr|D3YVM2|D3YVM2_MOUSE	537.633828	0.00156	+
35	sp|P82349|SGCB_MOUSE	431.956764	0.00229	-
36	tr|A2A6U3|A2A6U3_MOUSE	425.603820	0.00229	+
37	sp|Q8JZM0|TFB1M_MOUSE	415.246326	0.00270	-
38	sp|Q6P9J9|ANO6_MOUSE	414.092244	0.00270	+
39	tr|A0A2I3BPY7|A0A2I3BPY7_MOUSE	380.024723	0.00282	+
40	tr|E9QM38|E9QM38_MOUSE	377.915529	0.00300	+
41	sp|Q5F2E8|TAOK1_MOUSE	339.249443	0.00366	-
42	sp|Q8VIG0|ZCH14_MOUSE	337.723162	0.00366	-
43	tr|G3UY29|G3UY29_MOUSE	314.317605	0.00395	+
44	sp|P47962|RL5_MOUSE	302.915028	0.00409	+
45	sp|P62071|RRAS2_MOUSE	281.743192	0.00444	+
46	sp|O35963|RB33B_MOUSE	258.702223	0.00565	-
47	sp|P21958|TAP1_MOUSE	214.856315	0.00957	-
48	sp|O54962|BAF_MOUSE	204.119651	0.01042	-
49	sp|Q8C3W1|CA198_MOUSE	199.504947	0.01102	-
50	tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE	198.062315	0.01102	+
51	sp|P23242|CXA1_MOUSE	195.376837	0.01118	+
52	tr|A2ACM0|A2ACM0_MOUSE	186.068567	0.01231	-
53	sp|Q8CI51|PDLI5_MOUSE	184.150905	0.01264	+
54	sp|Q7TT50|MRCKB_MOUSE	175.094877	0.01333	+
55	sp|Q9CWR7|STEA1_MOUSE	166.919848	0.01473	+
56	tr|A2ACC6|A2ACC6_MOUSE	160.671749	0.01518	+
57	sp|Q9R1B9|SLIT2_MOUSE	159.757845	0.01518	-
58	sp|P50580|PA2G4_MOUSE	156.357083	0.01518	+
59	tr|A0A0R4J1I5|A0A0R4J1I5_MOUSE	149.055943	0.01678	-
60	sp|P45952|ACADM_MOUSE	148.503292	0.01678	-
61	tr|E9QN08|E9QN08_MOUSE	141.571679	0.01787	+
62	tr|D3Z3E8|D3Z3E8_MOUSE	141.005065	0.01787	-
63	tr|Q5UE59|Q5UE59_MOUSE	138.218730	0.01787	+
64	sp|P0CL69|ZN703_MOUSE	136.640319	0.01787	-
65	sp|P03888|NU1M_MOUSE	133.019015	0.01831	-
66	sp|Q9DBE8|ALG2_MOUSE	130.861843	0.01879	-
67	tr|E9Q3N1|E9Q3N1_MOUSE	118.663717	0.02209	+
68	sp|O55131|SEPT7_MOUSE	118.172062	0.02209	+
69	sp|Q91YT8|CSCL1_MOUSE	118.149485	0.02209	-
70	tr|Q5SS83|Q5SS83_MOUSE	115.492896	0.02229	+
71	tr|Q3TQ29|Q3TQ29_MOUSE	109.585790	0.02465	-
72	sp|P16546|SPTN1_MOUSE	99.197589	0.02722	+
73	sp|Q8BMK4|CKAP4_MOUSE	93.679037	0.03041	+
74	sp|P09411|PGK1_MOUSE	92.758415	0.03041	+
75	sp|Q8BXL9|IFFO1_MOUSE	89.967150	0.03067	-
76	tr|A2AVJ7|A2AVJ7_MOUSE	87.212260	0.03158	+
77	sp|Q9JHS4|CLPX_MOUSE	86.629433	0.03158	-
78	sp|Q9DBL1|ACDSB_MOUSE	83.412958	0.03321	-
79	sp|G5E829|AT2B1_MOUSE	83.283431	0.03321	+
80	tr|G3UZP7|G3UZP7_MOUSE	82.687934	0.03321	+
81	sp|Q02013|AQP1_MOUSE	81.519055	0.03321	+
82	sp|P43275|H11_MOUSE	80.704246	0.03321	-
83	sp|P62082|RS7_MOUSE	79.823455	0.03325	+
84	tr|Q8C4C9|Q8C4C9_MOUSE	79.094797	0.03333	-
85	tr|V9GXA5|V9GXA5_MOUSE	76.399155	0.03459	-
86	sp|Q9D3B1|HACD2_MOUSE	76.096416	0.03459	-
87	sp|Q9CZE3|RAB32_MOUSE	73.897381	0.03575	+
88	sp|Q8C0P0|GWL_MOUSE	73.115991	0.03575	-
89	tr|A0A0U1RP87|A0A0U1RP87_MOUSE	73.088636	0.03575	+
90	tr|Q9ER67|Q9ER67_MOUSE	69.620103	0.03722	-
91	sp|Q8BXJ2|TREF1_MOUSE	69.352620	0.03722	-
92	sp|P70280|VAMP7_MOUSE	68.312034	0.03870	+
93	tr|Q3U8S1|Q3U8S1_MOUSE	66.731686	0.03968	+
94	sp|P50544|ACADV_MOUSE	66.293374	0.03979	-
95	sp|Q80WJ7|LYRIC_MOUSE	65.199985	0.04021	+
96	sp|Q9ERB0|SNP29_MOUSE	63.648893	0.04094	+
97	tr|Q5SXR6|Q5SXR6_MOUSE	62.636075	0.04165	+
98	tr|E9PUC2|E9PUC2_MOUSE	59.480991	0.04429	+
99	sp|Q8BP92|RCN2_MOUSE	57.045589	0.04788	-
100	sp|P47738|ALDH2_MOUSE	56.991234	0.04788	-
101	sp|P35564|CALX_MOUSE	56.531818	0.04788	+
102	sp|Q91XV3|BASP1_MOUSE	55.734741	0.04788	+
103	sp|D3YXK1|SAMD1_MOUSE	55.210664	0.04796	-
104	sp|Q9QZD9|EIF3I_MOUSE	54.587464	0.04817	+
105	sp|P80314|TCPB_MOUSE	53.591581	0.04962	+
106	sp|P62259|1433E_MOUSE	53.546782	0.04962	+
107	tr|Q8BUU7|Q8BUU7_MOUSE	53.075323	0.04962	-
108	sp|P07356|ANXA2_MOUSE	51.989373	0.05009	+
109	tr|A7YY80|A7YY80_MOUSE	45.817964	0.06046	+
110	tr|A0A338P6B4|A0A338P6B4_MOUSE	45.151303	0.06118	+
111	sp|Q3U2P1|SC24A_MOUSE	44.183691	0.06288	-
112	sp|Q8VBT0|TMX1_MOUSE	43.700684	0.06357	+
113	sp|P09055|ITB1_MOUSE	43.511124	0.06357	+
114	sp|Q8BMJ2|SYLC_MOUSE	41.615650	0.06658	+
115	sp|Q8VC16|LRC14_MOUSE	41.179559	0.06704	-
116	sp|Q62261|SPTB2_MOUSE	40.924449	0.06704	+
117	tr|A2ATI9|A2ATI9_MOUSE	40.668879	0.06704	+
118	tr|A0A0N4SW73|A0A0N4SW73_MOUSE	40.454310	0.06704	+
119	sp|Q56A10|ZN608_MOUSE	39.308042	0.06849	-
120	sp|Q8BKX1|BAIP2_MOUSE	39.211958	0.06849	-
121	tr|F6Y3V0|F6Y3V0_MOUSE	37.998490	0.07083	+
122	sp|Q8K3G5|VRK3_MOUSE	37.495879	0.07083	-
123	sp|Q3TJZ6|FA98A_MOUSE	36.820045	0.07260	+
124	tr|E9QMD3|E9QMD3_MOUSE	35.677810	0.07548	-
125	tr|Q8VCV2|Q8VCV2_MOUSE	34.882613	0.07800	-
126	sp|Q62093|SRSF2_MOUSE	34.849244	0.07800	-
127	sp|E9PVB5|TTC17_MOUSE	33.621482	0.08039	-
128	sp|Q9D662|SC23B_MOUSE	33.137026	0.08195	+
129	sp|Q8CHH9|SEPT8_MOUSE	32.839068	0.08225	+
130	sp|Q60596|XRCC1_MOUSE	32.071032	0.08515	-
131	tr|Q3UC82|Q3UC82_MOUSE	31.941284	0.08515	-
132	sp|Q501J7|PHAR4_MOUSE	31.774750	0.08530	+
133	sp|Q91WL8|WWOX_MOUSE	31.607317	0.08530	+
134	tr|E9PUQ9|E9PUQ9_MOUSE	30.689803	0.08776	+
135	tr|A0A1L1SSV8|A0A1L1SSV8_MOUSE	30.210934	0.08822	-
136	sp|Q9Z0P4|PALM_MOUSE	30.066876	0.08824	+
