# ProtRank analysis results of a dataset with 1238 rows and 3 comparisons
# comparisons in group 1: C1 vs. E1_24 & C2 vs. E2_24 & C3 vs. E3_24
# FDR values computed using 100 bootstrap realizations of the data
# rank	row	rank score	FDR	signs in groups
1	sp|P56818|BACE1_MOUSE	410.098491	0.00000	+
2	sp|Q80UU9|PGRC2_MOUSE	279.854940	0.00000	+
3	sp|P49817|CAV1_MOUSE	191.152184	0.00000	+
4	sp|Q9CQW9|IFM3_MOUSE	173.044626	0.00000	+
5	sp|Q9CQW1|YKT6_MOUSE	172.172793	0.00000	+
6	sp|P63024|VAMP3_MOUSE	165.634097	0.00000	+
7	sp|O54724|CAVN1_MOUSE	120.331866	0.00000	+
8	tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE	114.280203	0.00125	+
9	tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE	111.169141	0.00125	+
10	tr|E9Q616|E9Q616_MOUSE	99.249592	0.00200	+
11	sp|O09044|SNP23_MOUSE	85.583587	0.00455	+
12	tr|F7DBB3|F7DBB3_MOUSE	84.322531	0.00455	+
13	sp|Q811D0|DLG1_MOUSE	73.416482	0.01077	+
14	sp|Q5Y5T1|ZDH20_MOUSE	65.231640	0.01429	+
15	tr|D3YVM2|D3YVM2_MOUSE	63.964664	0.01429	+
16	sp|Q80Z96|VANG1_MOUSE	61.312577	0.01500	+
17	sp|Q6P9J9|ANO6_MOUSE	56.560143	0.01882	+
18	sp|O35963|RB33B_MOUSE	55.429179	0.01889	-
19	sp|Q9CQU0|TXD12_MOUSE	54.930308	0.01889	-
20	sp|P47738|ALDH2_MOUSE	53.704042	0.01889	-
21	sp|P23242|CXA1_MOUSE	52.621805	0.01952	+
22	sp|O54962|BAF_MOUSE	52.482906	0.01952	-
23	tr|Q9ESU7|Q9ESU7_MOUSE	50.697987	0.02000	+
24	sp|P18572|BASI_MOUSE	48.556807	0.02208	+
25	sp|Q03145|EPHA2_MOUSE	47.361241	0.02208	+
26	sp|Q3T9E4|TGTP2_MOUSE	44.582953	0.02577	-
27	sp|Q63918|CAVN2_MOUSE	43.720429	0.02815	+
28	sp|P43275|H11_MOUSE	43.438701	0.02815	-
29	sp|Q62371|DDR2_MOUSE	40.299936	0.03483	+
30	tr|E9Q9C3|E9Q9C3_MOUSE	39.613376	0.03667	+
31	sp|Q8JZM0|TFB1M_MOUSE	37.265936	0.04387	-
32	tr|Q3UXD9|Q3UXD9_MOUSE	36.524277	0.04625	-
33	sp|O70318|E41L2_MOUSE	36.182891	0.04667	+
34	tr|A0A338P6B4|A0A338P6B4_MOUSE	35.916104	0.04667	+
35	sp|P45952|ACADM_MOUSE	35.750751	0.04667	-
36	tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE	35.081483	0.04667	+
37	sp|Q8CIB5|FERM2_MOUSE	32.582326	0.05541	+
38	sp|Q922W5|P5CR1_MOUSE	31.470407	0.06237	-
39	tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE	30.594634	0.06667	+
40	sp|Q99JR1|SFXN1_MOUSE	30.217992	0.06700	-
41	sp|Q6ZQI3|MLEC_MOUSE	30.130444	0.06700	-
42	tr|F8WHG5|F8WHG5_MOUSE	29.939271	0.06700	-
43	tr|Q8VCV2|Q8VCV2_MOUSE	29.390795	0.06767	-
44	sp|Q8C0J6|SWAHC_MOUSE	29.236289	0.06773	-
45	tr|V9GXA5|V9GXA5_MOUSE	28.891214	0.06822	-
46	sp|Q08509|EPS8_MOUSE	28.880469	0.06822	-
47	tr|E9Q3N1|E9Q3N1_MOUSE	28.140915	0.07064	+
48	sp|P0CL69|ZN703_MOUSE	25.241009	0.08896	-
49	sp|Q91YT8|CSCL1_MOUSE	24.852469	0.08959	-
50	sp|Q9EQ06|DHB11_MOUSE	24.673602	0.08959	-
51	sp|Q9JHS4|CLPX_MOUSE	24.530116	0.08959	-
52	sp|Q3THW5|H2AV_MOUSE	24.099641	0.09058	-
53	sp|Q04750|TOP1_MOUSE	24.081515	0.09058	-
54	sp|Q02013|AQP1_MOUSE	24.010611	0.09058	+
55	tr|A2ACM0|A2ACM0_MOUSE	23.711955	0.09058	-
56	sp|Q8BKX1|BAIP2_MOUSE	23.473893	0.09058	-
57	sp|Q8VCR7|ABHEB_MOUSE	22.932307	0.09386	-
58	sp|Q62093|SRSF2_MOUSE	22.606384	0.09603	-
59	sp|P50544|ACADV_MOUSE	22.425475	0.09603	-
60	tr|A2AVJ7|A2AVJ7_MOUSE	22.120691	0.09717	+
61	sp|Q8JZQ9|EIF3B_MOUSE	22.038715	0.09717	+
62	sp|Q8R349|CDC16_MOUSE	21.180095	0.10645	-
63	tr|Q5SS83|Q5SS83_MOUSE	20.814452	0.10873	+
64	sp|P08752|GNAI2_MOUSE	20.678261	0.10873	+
65	sp|P82349|SGCB_MOUSE	20.140180	0.11323	-
66	tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE	19.793497	0.11727	+
67	sp|P08249|MDHM_MOUSE	19.190211	0.12522	-
68	sp|Q9DBL1|ACDSB_MOUSE	19.118713	0.12522	-
69	sp|Q9CZE3|RAB32_MOUSE	18.889297	0.12638	+
70	sp|Q8BVY0|RL1D1_MOUSE	18.877837	0.12638	-
71	sp|P62301|RS13_MOUSE	18.542631	0.12817	+
72	sp|Q8BGZ2|F168A_MOUSE	18.473284	0.12817	-
73	sp|Q62311|TAF6_MOUSE	18.471618	0.12817	-
74	tr|D3Z3E8|D3Z3E8_MOUSE	18.252771	0.12817	-
75	sp|Q8K4X7|PLCD_MOUSE	17.890939	0.13240	-
76	sp|Q9QZD9|EIF3I_MOUSE	17.859171	0.13240	+
77	sp|Q61768|KINH_MOUSE	17.761716	0.13240	+
78	sp|P03888|NU1M_MOUSE	17.703268	0.13240	-
79	sp|Q80WJ7|LYRIC_MOUSE	17.582520	0.13240	+
