,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides C1,Peptides C2,Peptides C3,Peptides E1_24,Peptides E1_48,Peptides E2_24,Peptides E2_48,Peptides E3_24,Peptides E3_48,Razor + unique peptides C1,Razor + unique peptides C2,Razor + unique peptides C3,Razor + unique peptides E1_24,Razor + unique peptides E1_48,Razor + unique peptides E2_24,Razor + unique peptides E2_48,Razor + unique peptides E3_24,Razor + unique peptides E3_48,Unique peptides C1,Unique peptides C2,Unique peptides C3,Unique peptides E1_24,Unique peptides E1_48,Unique peptides E2_24,Unique peptides E2_48,Unique peptides E3_24,Unique peptides E3_48,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Sequence coverage C1 [%],Sequence coverage C2 [%],Sequence coverage C3 [%],Sequence coverage E1_24 [%],Sequence coverage E1_48 [%],Sequence coverage E2_24 [%],Sequence coverage E2_48 [%],Sequence coverage E3_24 [%],Sequence coverage E3_48 [%],Intensity,Intensity C1,Intensity C2,Intensity C3,Intensity E1_24,Intensity E1_48,Intensity E2_24,Intensity E2_48,Intensity E3_24,Intensity E3_48,iBAQ peptides,iBAQ,iBAQ C1,iBAQ C2,iBAQ C3,iBAQ E1_24,iBAQ E1_48,iBAQ E2_24,iBAQ E2_48,iBAQ E3_24,iBAQ E3_48,LFQ intensity C1,LFQ intensity C2,LFQ intensity C3,LFQ intensity E1_24,LFQ intensity E1_48,LFQ intensity E2_24,LFQ intensity E2_48,LFQ intensity E3_24,LFQ intensity E3_48,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count E1_24,MS/MS count E1_48,MS/MS count E2_24,MS/MS count E2_48,MS/MS count E3_24,MS/MS count E3_48,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (NQ) site IDs,Dioxidation (MW) site IDs,Oxidation (M) site IDs,Deamidation (NQ) site positions,Dioxidation (MW) site positions,Oxidation (M) site positions,Taxonomy IDs,unique_int,Gene_id,desc,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,mean,exp_rank
1140,sp|Q80UU9|PGRC2_MOUSE,sp|Q80UU9|PGRC2_MOUSE,9,9,9,sp|Q80UU9|PGRC2_MOUSE Membrane-associated progesterone receptor component 2 OS=Mus musculus OX=10090 GN=Pgrmc2 PE=1 SV=2,1,9,9,9,0,0,0,6,8,6,8,5,3,0,0,0,6,8,6,8,5,3,0,0,0,6,8,6,8,5,3,46.5,46.5,46.5,23.334,217,217,0.0,125.47,0.0,0.0,0.0,34.1,44.7,40.6,46.1,30.4,18.9,1534500000,0,0,0,142080000,186020000,544690000,484670000,111760000,65315000,11,139500000.0,0.0,0.0,0.0,12916000.0,16911000.0,49517000.0,44061000.0,10160000.0,5937700.0,0,0,0,146890000,145550000,189520000,189470000,66174000,47723000,0,0,0,9,11,10,9,9,4,52,,,,1140,1365;1437;1460;2473;2969;5610;7689;8357;10529,True;True;True;True;True;True;True;True;True,1482;1559;1583;2661;3199;3200;6056;8332;9059;11782,7382;7746;7747;7748;7749;7750;7751;7879;7880;7881;7882;7883;7884;12928;12929;12930;12931;12932;12933;15458;15459;15460;15461;15462;15463;15464;30292;30293;30294;42301;42302;42303;42304;45944;45945;45946;45947;45948;45949;45950;45951;45952;45953;45954;45955;45956;45957;59396,8245;8625;8626;8627;8628;8629;8630;8631;8776;8777;8778;8779;8780;8781;14272;14273;14274;14275;14276;14277;17050;17051;17052;17053;17054;17055;17056;33501;33502;33503;46971;46972;46973;46974;46975;51149;51150;51151;51152;51153;51154;51155;51156;51157;51158;51159;51160;51161;51162;51163;51164;51165;51166;51167;66707,8245;8631;8780;14275;17053;33503;46971;51163;66707,,,486,,,182,-1,9,sp|Q80UU9|PGRC2_MOUSE,Membrane-associated progesterone receptor component 2,12916000.0,49517000.0,10160000.0,16911000.0,44061000.0,5937700.0,23250450.0,1.0
482,sp|P49817|CAV1_MOUSE;tr|D3Z148|D3Z148_MOUSE;tr|H3BKG0|H3BKG0_MOUSE;tr|D3Z0J2|D3Z0J2_MOUSE;sp|P51637|CAV3_MOUSE,sp|P49817|CAV1_MOUSE;tr|D3Z148|D3Z148_MOUSE;tr|H3BKG0|H3BKG0_MOUSE,6;5;4;2;1,6;5;4;2;1,6;5;4;2;1,sp|P49817|CAV1_MOUSE Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1;tr|D3Z148|D3Z148_MOUSE Caveolin (Fragment) OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=2;tr|H3BKG0|H3BKG0_MOUSE Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1,5,6,6,6,0,0,0,5,5,5,5,3,3,0,0,0,5,5,5,5,3,3,0,0,0,5,5,5,5,3,3,39.3,39.3,39.3,20.538,178,178;115;93;47;151,0.0,24.682,0.0,0.0,0.0,34.3,33.7,34.8,34.8,24.2,25.3,739730000,0,0,0,60157000,133280000,233400000,277230000,22719000,12956000,10,73973000.0,0.0,0.0,0.0,6015700.0,13328000.0,23340000.0,27723000.0,2271900.0,1295600.0,0,0,0,36691000,83873000,94268000,114440000,36020000,14802000,0,0,0,7,8,9,7,4,4,39,,,,482,753;2374;4888;5188;10475;14986,True;True;True;True;True;True,813;814;2558;5269;5604;11714;16634,4000;4001;4002;4003;12434;12435;12436;12437;25996;25997;25998;25999;26000;26001;27896;27897;27898;27899;27900;27901;27902;27903;27904;27905;59115;59116;84157;84158;84159;84160;84161;84162;84163;84164,4583;4584;4585;4586;13722;13723;13724;13725;28645;28646;28647;28648;28649;28650;28651;28652;28653;28654;28655;30784;30785;30786;30787;30788;30789;30790;30791;30792;30793;30794;30795;66403;66404;94558;94559;94560;94561;94562;94563;94564;94565,4584;13725;28654;30790;66403;94561,,,212,,,32,-1;-1;-1;-1;-1,6,sp|P49817|CAV1_MOUSE,Caveolin-1,6015700.0,23340000.0,2271900.0,13328000.0,27723000.0,1295600.0,12329033.333333334,2.0
612,sp|P63024|VAMP3_MOUSE;sp|P63044|VAMP2_MOUSE;tr|B0QZN5|B0QZN5_MOUSE;tr|A0A0N4SUV3|A0A0N4SUV3_MOUSE;sp|Q62442|VAMP1_MOUSE;tr|D3YTU0|D3YTU0_MOUSE,sp|P63024|VAMP3_MOUSE,7;3;3;1;1;1,7;3;3;1;1;1,7;3;3;1;1;1,sp|P63024|VAMP3_MOUSE Vesicle-associated membrane protein 3 OS=Mus musculus OX=10090 GN=Vamp3 PE=1 SV=1,6,7,7,7,0,0,0,3,5,6,7,4,3,0,0,0,3,5,6,7,4,3,0,0,0,3,5,6,7,4,3,55.3,55.3,55.3,11.48,103,103;116;163;116;118;171,0.0,110.42,0.0,0.0,0.0,54.4,55.3,55.3,55.3,54.4,39.8,333610000,0,0,0,13027000,63703000,110480000,121040000,16039000,9315200,5,66721000.0,0.0,0.0,0.0,2605300.0,12741000.0,22097000.0,24207000.0,3207800.0,1863000.0,0,0,0,19464000,43024000,38952000,43198000,12756000,8854200,0,0,0,3,6,7,7,4,3,30,,,,612,141;8145;8255;8256;10701;11982;11983,True;True;True;True;True;True;True,146;8829;8830;8949;8950;11971;13367;13368,596;597;598;599;600;44687;44688;44689;44690;44691;44692;44693;45356;45357;45358;45359;45360;45361;45362;45363;60320;66857;66858;66859;66860;66861;66862;66863;66864;66865,650;651;652;653;654;49656;49657;49658;49659;49660;49661;49662;49663;50508;50509;50510;50511;50512;50513;50514;50515;67696;74745;74746;74747;74748;74749;74750;74751;74752;74753,653;49662;50508;50514;67696;74745;74752,,,269,,,33,-1;-1;-1;-1;-1;-1,7,sp|P63024|VAMP3_MOUSE,Vesicle-associated membrane protein 3,2605300.0,22097000.0,3207800.0,12741000.0,24207000.0,1863000.0,11120183.333333334,3.0
1709,sp|Q9CQW1|YKT6_MOUSE,sp|Q9CQW1|YKT6_MOUSE,6,6,6,sp|Q9CQW1|YKT6_MOUSE Synaptobrevin homolog YKT6 OS=Mus musculus OX=10090 GN=Ykt6 PE=1 SV=1,1,6,6,6,0,0,0,4,5,6,6,4,4,0,0,0,4,5,6,6,4,4,0,0,0,4,5,6,6,4,4,35.4,35.4,35.4,22.314,198,198,0.0,38.91,0.0,0.0,0.0,24.2,35.4,35.4,35.4,28.8,30.3,797780000,0,0,0,46394000,151810000,263140000,268400000,36098000,31936000,14,56984000.0,0.0,0.0,0.0,3313900.0,10844000.0,18795000.0,19172000.0,2578400.0,2281200.0,0,0,0,66787000,95514000,91824000,102350000,29325000,22603000,0,0,0,5,8,10,8,5,4,40,,,,1709,132;3813;5228;6947;11025;13117,True;True;True;True;True;True,137;4112;5646;7534;12332;14606,535;536;537;538;539;19995;19996;19997;19998;19999;20000;20001;20002;28059;28060;28061;28062;28063;28064;28065;28066;38272;38273;61874;61875;61876;61877;61878;61879;61880;61881;61882;73492;73493;73494;73495;73496;73497,586;587;588;589;590;22127;22128;22129;22130;22131;22132;22133;22134;30966;30967;30968;30969;30970;30971;30972;30973;30974;42458;42459;42460;69435;69436;69437;69438;69439;69440;69441;69442;69443;82344;82345;82346;82347;82348;82349,588;22127;30973;42460;69440;82345,,,,,,,-1,6,sp|Q9CQW1|YKT6_MOUSE,Synaptobrevin homolog YKT6,3313900.0,18795000.0,2578400.0,10844000.0,19172000.0,2281200.0,9497416.666666666,4.0
1711,sp|Q9CQW9|IFM3_MOUSE;sp|Q99J93|IFM2_MOUSE;tr|A0A1B0GT68|A0A1B0GT68_MOUSE,sp|Q9CQW9|IFM3_MOUSE,3;1;1,3;1;1,3;1;1,sp|Q9CQW9|IFM3_MOUSE Interferon-induced transmembrane protein 3 OS=Mus musculus OX=10090 GN=Ifitm3 PE=1 SV=1,3,3,3,3,0,0,0,2,3,2,2,1,1,0,0,0,2,3,2,2,1,1,0,0,0,2,3,2,2,1,1,36.5,36.5,36.5,14.954,137,137;144;152,0.0,10.806,0.0,0.0,0.0,30.7,36.5,30.7,30.7,14.6,14.6,204820000,0,0,0,17620000,54609000,55606000,52856000,21934000,2194700,4,51205000.0,0.0,0.0,0.0,4405000.0,13652000.0,13901000.0,13214000.0,5483500.0,548670.0,0,0,0,17029000,36742000,20483000,21032000,18786000,0,0,0,0,3,6,4,3,2,1,19,,,,1711,5509;8942;12972,True;True;True,5951;5952;9773;14449,29764;29765;29766;29767;29768;29769;29770;29771;29772;29773;29774;29775;29776;29777;49697;49698;49699;49700;72632,32929;32930;32931;32932;32933;32934;32935;32936;32937;32938;32939;32940;32941;32942;32943;55284;55285;55286;55287;81407,32939;55285;81407,,,644;645,,,32;48,-1;-1;-1,3,sp|Q9CQW9|IFM3_MOUSE,Interferon-induced transmembrane protein 3,4405000.0,13901000.0,5483500.0,13652000.0,13214000.0,548670.0,8534028.333333334,5.0
1319,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE;sp|Q8C1B7|SEP11_MOUSE;tr|A0A0J9YUL3|A0A0J9YUL3_MOUSE;sp|Q9R1T4|SEPT6_MOUSE;tr|A0A0J9YUV6|A0A0J9YUV6_MOUSE;tr|A0A0J9YVA6|A0A0J9YVA6_MOUSE;tr|A2A3W1|A2A3W1_MOUSE,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE;sp|Q8C1B7|SEP11_MOUSE;tr|A0A0J9YUL3|A0A0J9YUL3_MOUSE,12;12;12;5;4;3;1,12;12;12;5;4;3;1,10;10;10;3;4;2;1,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE Septin-11 OS=Mus musculus OX=10090 GN=Septin11 PE=1 SV=1;sp|Q8C1B7|SEP11_MOUSE Septin-11 OS=Mus musculus OX=10090 GN=Septin11 PE=1 SV=4;tr|A0A0J9YUL3|A0A0J9YUL3_MOUSE Septin-11 OS=Mus musculus OX=10090 GN=Septin11 PE=1 SV=1,7,12,12,10,0,0,0,9,11,9,11,7,4,0,0,0,9,11,9,11,7,4,0,0,0,8,9,7,9,5,3,33.9,33.9,30.4,48.978,425,425;431;432;434;97;204;141,0.0,127.57,0.0,0.0,0.0,26.6,30.8,27.3,33.9,20.0,11.1,618420000,0,0,0,37672000,91332000,207950000,238200000,27348000,15916000,21,29449000.0,0.0,0.0,0.0,1793900.0,4349200.0,9902200.0,11343000.0,1302300.0,757920.0,0,0,0,48676000,66856000,73836000,81944000,21973000,12791000,0,0,0,10,13,10,12,8,4,57,,,,1319,1181;1918;2512;3116;6177;6420;9427;10722;11423;11993;12145;13898,True;True;True;True;True;True;True;True;True;True;True;True,1280;2072;2700;3354;6704;6962;10376;11995;12767;13380;13546;15461,6200;6201;6202;6203;10241;10242;10243;13077;13078;16231;16232;16233;16234;16235;16236;34029;34030;34031;34032;34033;35307;35308;35309;35310;35311;35312;35313;35314;35315;35316;53001;53002;53003;53004;60423;60424;60425;63907;63908;63909;63910;66907;66908;66909;66910;68050;68051;68052;68053;68054;77952;77953;77954;77955;77956;77957,6925;6926;6927;6928;11330;11331;11332;14432;14433;17945;17946;17947;17948;17949;17950;37980;37981;37982;37983;37984;39334;39335;39336;39337;39338;39339;39340;39341;39342;39343;59766;59767;59768;59769;67801;67802;67803;71620;71621;71622;71623;74796;74797;74798;74799;76159;76160;76161;76162;76163;87157;87158;87159;87160;87161;87162;87163;87164,6925;11331;14433;17945;37980;39342;59767;67801;71620;74798;76159;87162,,,,,,,-1;-1;-1;-1;-1;-1;-1,10,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE,tr|A0A0J9YTY0|A0A0J9YTY0_MOUSE Septin-11,1793900.0,9902200.0,1302300.0,4349200.0,11343000.0,757920.0,4908086.666666667,6.0
1379,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE;sp|Q8CI59|STEA3_MOUSE;tr|E9QN92|E9QN92_MOUSE;tr|D3YTP0|D3YTP0_MOUSE,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE;sp|Q8CI59|STEA3_MOUSE;tr|E9QN92|E9QN92_MOUSE;tr|D3YTP0|D3YTP0_MOUSE,12;12;12;11,12;12;12;11,12;12;12;11,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE Metalloreductase STEAP3 OS=Mus musculus OX=10090 GN=Steap3 PE=1 SV=1;sp|Q8CI59|STEA3_MOUSE Metalloreductase STEAP3 OS=Mus musculus OX=10090 GN=Steap3 PE=1 SV=1;tr|E9QN92|E9QN92_MOUSE Metalloreductase STEAP3 OS=Mus musculus OX,4,12,12,12,0,0,0,6,10,10,10,6,3,0,0,0,6,10,10,10,6,3,0,0,0,6,10,10,10,6,3,24.2,24.2,24.2,54.747,488,488;488;526;418,0.0,36.618,0.0,0.0,0.0,14.5,21.7,20.5,20.9,14.5,7.2,486320000,0,0,0,41621000,95410000,162840000,138350000,38993000,9102300,24,20263000.0,0.0,0.0,0.0,1734200.0,3975400.0,6784900.0,5764700.0,1624700.0,379260.0,0,0,0,50357000,66995000,57044000,52533000,23417000,9006500,0,0,0,6,9,11,10,6,3,45,,,,1379,343;763;2905;3339;5660;5661;8488;8514;10711;11299;13446;14590,True;True;True;True;True;True;True;True;True;True;True;True,365;827;828;3131;3598;6115;6116;9198;9227;11981;12635;14967;16211,1628;4041;4042;4043;4044;4045;4046;15174;15175;15176;15177;15178;17375;17376;17377;17378;17379;30605;30606;30607;30608;30609;30610;30611;30612;30613;46692;46693;46694;46695;46696;46845;46846;46847;46848;60367;60368;63291;75481;75482;75483;75484;75485;75486;81685;81686,1780;4624;4625;4626;4627;4628;4629;16731;16732;16733;16734;16735;19179;19180;19181;19182;19183;33869;33870;33871;33872;33873;33874;33875;33876;33877;51944;51945;51946;51947;51948;52103;52104;52105;52106;67744;67745;70985;84551;84552;84553;84554;84555;84556;91422;91423,1780;4624;16734;19182;33872;33877;51944;52106;67744;70985;84554;91422,,,543,,,185,-1;-1;-1;-1,12,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE,tr|A0A0R4J1G9|A0A0R4J1G9_MOUSE Metalloreductase STEAP3,1734200.0,6784900.0,1624700.0,3975400.0,5764700.0,379260.0,3377193.3333333335,7.0
2040,tr|Q924U4|Q924U4_MOUSE;tr|D3Z147|D3Z147_MOUSE;sp|Q9WVC3|CAV2_MOUSE,tr|Q924U4|Q924U4_MOUSE;tr|D3Z147|D3Z147_MOUSE;sp|Q9WVC3|CAV2_MOUSE,2;2;2,2;2;2,2;2;2,tr|Q924U4|Q924U4_MOUSE Caveolin OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1;tr|D3Z147|D3Z147_MOUSE Caveolin-2 OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1;sp|Q9WVC3|CAV2_MOUSE Caveolin-2 OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1,3,2,2,2,0,0,0,1,2,2,2,1,0,0,0,0,1,2,2,2,1,0,0,0,0,1,2,2,2,1,0,38.1,38.1,38.1,12.905999999999999,113,113;117;162,0.0,4.5403,0.0,0.0,0.0,15.9,38.1,38.1,38.1,15.9,0.0,85005000,0,0,0,401130,4270900,54302000,14206000,11825000,0,7,12144000.0,0.0,0.0,0.0,57304.0,610120.0,7757400.0,2029400.0,1689300.0,0.0,0,0,0,0,6657800,10926000,12756000,6323600,0,0,0,0,1,2,5,3,2,0,13,,,,2040,206;14987,True;True,217;16635,892;893;894;895;84165;84166;84167;84168;84169;84170;84171,957;958;959;960;961;962;94566;94567;94568;94569;94570;94571;94572,958;94568,,,,,,,-1;-1;-1,2,tr|Q924U4|Q924U4_MOUSE,tr|Q924U4|Q924U4_MOUSE Caveolin,57304.0,7757400.0,1689300.0,610120.0,2029400.0,0.0,2428704.8,8.0
967,sp|Q63918|CAVN2_MOUSE,sp|Q63918|CAVN2_MOUSE,11,11,11,sp|Q63918|CAVN2_MOUSE Caveolae-associated protein 2 OS=Mus musculus OX=10090 GN=Cavin2 PE=1 SV=3,1,11,11,11,1,0,0,9,10,7,8,2,1,1,0,0,9,10,7,8,2,1,1,0,0,9,10,7,8,2,1,37.6,37.6,37.6,46.763000000000005,418,418,0.0,110.86,2.6,0.0,0.0,32.5,33.3,28.0,28.2,6.7,2.6,253940000,0,0,0,47435000,64597000,74603000,63905000,3402300,0,22,11543000.0,0.0,0.0,0.0,2156100.0,2936200.0,3391100.0,2904800.0,154650.0,0.0,0,0,0,48893000,44400000,28372000,27348000,0,0,0,0,0,8,10,7,7,1,0,33,,,,967,1767;2709;3411;7104;8538;10066;10460;10670;13735;14131;14632,True;True;True;True;True;True;True;True;True;True;True,1911;2913;3676;7708;9253;11166;11167;11694;11938;11939;15288;15722;16258,9528;9529;9530;9531;9532;9533;14082;14083;17793;17794;17795;17796;39132;39133;39134;47054;47055;47056;47057;56799;56800;56801;56802;59040;60160;60161;60162;60163;60164;60165;60166;60167;77224;77225;77226;77227;77228;77229;77230;77231;79164;79165;82311;82312;82313,10582;10583;10584;10585;10586;10587;15481;15482;19662;19663;19664;19665;19666;43391;43392;43393;52323;52324;52325;52326;63904;63905;63906;63907;66317;67531;67532;67533;67534;67535;67536;67537;67538;86413;86414;86415;86416;86417;86418;86419;86420;88429;88430;92572;92573;92574,10586;15482;19663;43393;52326;63907;66317;67533;86415;88429;92574,385,,,144,,,-1,11,sp|Q63918|CAVN2_MOUSE,Caveolae-associated protein 2,2156100.0,3391100.0,154650.0,2936200.0,2904800.0,0.0,2308570.0,9.0
144,sp|O09044|SNP23_MOUSE;tr|Q9D3L3|Q9D3L3_MOUSE;tr|B0R030|B0R030_MOUSE;tr|B0R029|B0R029_MOUSE;tr|E9Q8A1|E9Q8A1_MOUSE;sp|P60879|SNP25_MOUSE,sp|O09044|SNP23_MOUSE;tr|Q9D3L3|Q9D3L3_MOUSE;tr|B0R030|B0R030_MOUSE;tr|B0R029|B0R029_MOUSE;tr|E9Q8A1|E9Q8A1_MOUSE,8;8;7;5;5;1,8;8;7;5;5;1,8;8;7;5;5;1,sp|O09044|SNP23_MOUSE Synaptosomal-associated protein 23 OS=Mus musculus OX=10090 GN=Snap23 PE=1 SV=1;tr|Q9D3L3|Q9D3L3_MOUSE Synaptosomal-associated protein OS=Mus musculus OX=10090 GN=Snap23 PE=1 SV=1;tr|B0R030|B0R030_MOUSE Synaptosomal-associated protein,6,8,8,8,0,0,0,5,5,7,5,3,1,0,0,0,5,5,7,5,3,1,0,0,0,5,5,7,5,3,1,53.8,53.8,53.8,23.261,210,210;221;161;85;98;206,0.0,55.636,0.0,0.0,0.0,35.2,35.2,47.1,40.5,19.5,6.7,160430000,0,0,0,16905000,24516000,68867000,37614000,10711000,1814300,12,13369000.0,0.0,0.0,0.0,1408800.0,2043000.0,5738900.0,3134500.0,892600.0,151190.0,0,0,0,15803000,19790000,24454000,14067000,7244000,2548900,0,0,0,6,5,8,6,4,2,31,,,,144,469;470;1159;5242;5585;6027;6028;12535,True;True;True;True;True;True;True;True,505;506;1258;5660;5661;6031;6537;6538;13982,2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475;6097;6098;6099;6100;6101;28130;28131;28132;28133;28134;28135;28136;30171;33260;33261;33262;33263;33264;33265;70431;70432,2851;2852;2853;2854;2855;2856;2857;2858;2859;2860;2861;2862;2863;6818;6819;6820;6821;6822;31041;31042;31043;31044;31045;31046;31047;33368;37121;37122;37123;37124;37125;37126;37127;37128;78943;78944,2851;2862;6821;31047;33368;37123;37125;78944,54;668,,57,124;126,,59,-1;-1;-1;-1;-1;-1,8,sp|O09044|SNP23_MOUSE,Synaptosomal-associated protein 23,1408800.0,5738900.0,892600.0,2043000.0,3134500.0,151190.0,2228165.0,10.0
